"","ID","gender","attitude","speaker","item","meanf0","articulationRate","f0Span","N.x","H1_H2","N.y","meanIntensity","N"
"53","F10_6_Def","F","Def","F10",6,241.572727272727,6.50887573964497,97.745,11,0.61270007075,12,60.2968181818182,11
"54","F10_6_Non","F","Non","F10",6,262.763636363636,6.76506765067651,119.485,11,0.765736304083333,12,63.5782727272727,11
"55","F10_7_Def","F","Def","F10",7,248.688888888889,6.81818181818182,102.68,9,1.07799456077778,9,60.4317777777778,9
"56","F10_7_Non","F","Non","F10",7,251.911111111111,7.39523418241578,89.685,9,-2.28059069877778,9,63.3793333333333,9
"57","F10_8_Def","F","Def","F10",8,234.825,7.78210116731517,76.73,8,4.758494091625,8,57.763125,8
"58","F10_8_Non","F","Non","F10",8,267.5125,8.41219768664564,114.415,8,0.0840122018750002,8,64.6155,8
"59","F10_9_Def","F","Def","F10",9,270.614285714286,6.20017714791851,73.9,7,0.233812301285714,7,60.6933333333333,6
"60","F10_9_Non","F","Non","F10",9,288.342857142857,6.78952473326867,91.575,7,-2.68565694728571,7,65.8828333333333,6
"61","F11_1_Def","F","Def","F11",1,275.036363636364,6.16591928251121,161.44,11,2.7742249765,12,60.397,11
"62","F11_1_Non","F","Non","F11",1,236.418181818182,7.58620689655172,77.765,11,1.25426984358333,12,61.8311818181818,11
"63","F11_10_Def","F","Def","F11",10,270.7,4.11522633744856,115.595,9,7.35645112322222,9,56.3896666666667,9
"64","F11_10_Non","F","Non","F11",10,254.677777777778,7.44416873449131,123.1,9,0.513278402333334,9,59.1083333333333,9
"65","F11_2_Def","F","Def","F11",2,256.9375,4.07331975560081,101.45,8,6.666018161125,8,60.922875,8
"66","F11_2_Non","F","Non","F11",2,279.642857142857,5.64971751412429,112.895,7,2.105093229,8,64.661125,8
"67","F11_3_Def","F","Def","F11",3,292.088888888889,5.59701492537313,144.645,9,10.0712604263333,9,59.2771111111111,9
"68","F11_3_Non","F","Non","F11",3,262.722222222222,7.85340314136126,109.185,9,4.61474130655556,9,63.7073333333333,9
"69","F11_4_Def","F","Def","F11",4,251.6,5.25762355415352,131.395,10,6.6972201877,10,62.0533,10
"70","F11_4_Non","F","Non","F11",4,239.48,7.01754385964912,94.1499999999999,10,-0.4051445278,10,62.5844,10
"71","F11_5_Def","F","Def","F11",5,294.955555555556,6.32466619817287,130.955,9,4.79733000288889,9,60.5637777777778,9
"72","F11_5_Non","F","Non","F11",5,281.222222222222,7.78546712802768,99.955,9,2.59687623411111,9,63.8515555555556,9
"73","F11_6_Def","F","Def","F11",6,270.318181818182,4.53982666116385,159.81,11,3.6179549025,12,62.7930909090909,11
"74","F11_6_Non","F","Non","F11",6,258.36,7.25689404934688,125.085,10,-0.9029962925,12,65.9238181818182,11
"75","F11_7_Def","F","Def","F11",7,258.733333333333,5.28789659224442,154.045,9,-1.44489740744444,9,60.6175555555556,9
"76","F11_7_Non","F","Non","F11",7,253.177777777778,9,133.11,9,2.19390927055556,9,63.6644444444444,9
"77","F11_8_Def","F","Def","F11",8,273.25,5.54785020804438,101.175,8,5.1564800135,8,60.068625,8
"78","F11_8_Non","F","Non","F11",8,253.1625,8.52878464818763,101.695,8,2.303084439,8,62.007,8
"79","F11_9_Def","F","Def","F11",9,277.057142857143,4.51612903225806,135.27,7,9.47813578628571,7,63.1163333333333,6
"80","F11_9_Non","F","Non","F11",9,248.228571428571,8.22561692126909,96.36,7,2.66385155757143,7,63.6885,6
"81","F12_1_Def","F","Def","F12",1,210.181818181818,5.69948186528497,70.385,11,4.09434383266667,12,59.8101818181818,11
"82","F12_1_Non","F","Non","F12",1,244.81,6.70241286863271,122.42,10,1.02447065641667,12,65.2178181818182,11
"83","F12_10_Def","F","Def","F12",10,224.344444444444,5.07042253521127,71.885,9,9.12039036177778,9,52.9382222222222,9
"84","F12_10_Non","F","Non","F12",10,243.755555555556,5.96026490066225,87.575,9,7.76636217844444,9,60.8267777777778,9
"85","F12_2_Def","F","Def","F12",2,218.35,5.12163892445583,83.205,8,6.196174173875,8,63.246625,8
"86","F12_2_Non","F","Non","F12",2,225.6125,6.37450199203187,148.95,8,4.849219507625,8,64.575125,8
"87","F12_3_Def","F","Def","F12",3,216.6,4.66472303206997,56.325,8,7.58024806233333,9,56.7497777777778,9
"88","F12_3_Non","F","Non","F12",3,220.0125,6.13967766692249,132.3,8,5.62275709522222,9,61.936,9
"89","F12_4_Def","F","Def","F12",4,227.19,5.95238095238095,83.805,10,6.5400555816,10,64.5499,10
"90","F12_4_Non","F","Non","F12",4,198.96,7.2463768115942,100.64,10,2.2177060764,10,66.4595,10
"91","F12_5_Def","F","Def","F12",5,252.044444444444,6.19834710743802,108.385,9,7.36721629411111,9,60.5458888888889,9
"92","F12_5_Non","F","Non","F12",5,257.711111111111,7.60135135135135,117.055,9,5.92457698433333,9,62.6751111111111,9
"93","F12_6_Def","F","Def","F12",6,227.672727272727,5.33462657613967,103.66,11,7.33162791741667,12,61.149,11
"94","F12_6_Non","F","Non","F12",6,240.709090909091,7.69230769230769,133.67,11,4.63873824733333,12,60.5429090909091,11
"95","F12_7_Def","F","Def","F12",7,235.644444444444,5.9016393442623,108.21,9,5.07667265711111,9,60.0125555555556,9
"96","F12_7_Non","F","Non","F12",7,247.8,6.72430355427473,114.73,7,2.49777067888889,9,60.5444444444444,9
"97","F12_8_Def","F","Def","F12",8,225.775,6.3441712926249,79.645,8,9.10545665,8,59.25925,8
"98","F12_8_Non","F","Non","F12",8,248.1875,7.25294650951949,115.275,8,3.835561297,8,62.31475,8
"99","F12_9_Def","F","Def","F12",9,236.928571428571,5.83819849874896,105.585,7,12.9116065764286,7,58.1661666666667,6
"100","F12_9_Non","F","Non","F12",9,241.528571428571,7.16479017400205,125.56,7,6.98940723757143,7,59.9106666666667,6
"101","F13_1_Def","F","Def","F13",1,242.863636363636,5.26819923371648,136.62,11,8.33655776875,12,55.0718181818182,11
"102","F13_1_Non","F","Non","F13",1,239.690909090909,7.03324808184143,107.175,11,3.674974065,12,58.7083636363636,11
"103","F13_10_Def","F","Def","F13",10,272.311111111111,4.56852791878173,129.495,9,6.41903800811111,9,62.3788888888889,9
"104","F13_10_Non","F","Non","F13",10,263.166666666667,5.75447570332481,88.005,9,5.24887522033333,9,63.2707777777778,9
